ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas,Christmas_lower,Christmas_upper,International Workers Day,International Workers Day_lower,International Workers Day_upper,NewYear,NewYear_lower,NewYear_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2014-01-03,224.1958853688,-540.7948206337899,1007.5972043921631,224.1958853688,224.1958853688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4684269738289875,1.4684269738289875,1.4684269738289875,0.0,0.0,0.0,2.7314967440149673,2.7314967440149673,2.7314967440149673,-1.2630697701859794,-1.2630697701859794,-1.2630697701859794,0.0,0.0,0.0,225.664312342629
2014-01-04,224.2940751533238,-541.9349673194951,1040.7480040732064,224.2940751533238,224.2940751533238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.870008614505444,-16.870008614505444,-16.870008614505444,0.0,0.0,0.0,-13.81221197559743,-13.81221197559743,-13.81221197559743,-3.057796638908015,-3.057796638908015,-3.057796638908015,0.0,0.0,0.0,207.42406653881835
2014-01-05,224.3922649378476,-579.4714555608969,999.7404738560194,224.3922649378476,224.3922649378476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.125658206802093,-12.125658206802093,-12.125658206802093,0.0,0.0,0.0,-7.556088554826431,-7.556088554826431,-7.556088554826431,-4.569569651975665,-4.569569651975665,-4.569569651975665,0.0,0.0,0.0,212.26660673104553
2014-01-06,224.49045472237145,-610.0905749804685,1006.4014327109961,224.49045472237145,224.49045472237145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.9072214223945725,-7.9072214223945725,-7.9072214223945725,0.0,0.0,0.0,-2.1743652837000997,-2.1743652837000997,-2.1743652837000997,-5.732856138694473,-5.732856138694473,-5.732856138694473,0.0,0.0,0.0,216.58323329997688
2014-01-07,224.58864450689526,-559.9272096836046,1078.0582618945646,224.58864450689526,224.58864450689526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.180953208338043,20.180953208338043,20.180953208338043,0.0,0.0,0.0,26.670037262198534,26.670037262198534,26.670037262198534,-6.489084053860492,-6.489084053860492,-6.489084053860492,0.0,0.0,0.0,244.76959771523332
2014-01-09,224.78502407594289,-540.5965362408787,1011.5707790612718,224.78502407594289,224.78502407594289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.934598967422659,-15.934598967422659,-15.934598967422659,0.0,0.0,0.0,-9.342140043065855,-9.342140043065855,-9.342140043065855,-6.592458924356804,-6.592458924356804,-6.592458924356804,0.0,0.0,0.0,208.85042510852023
2014-01-10,224.88321386046673,-544.2757021998492,1002.655219333043,224.88321386046673,224.88321386046673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1424850542239455,-3.1424850542239455,-3.1424850542239455,0.0,0.0,0.0,2.731496744018756,2.731496744018756,2.731496744018756,-5.873981798242701,-5.873981798242701,-5.873981798242701,0.0,0.0,0.0,221.74072880624277
2014-01-11,224.98140364499054,-542.1630208857767,1013.4643805589333,224.98140364499054,224.98140364499054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.43225847429033,-18.43225847429033,-18.43225847429033,0.0,0.0,0.0,-13.812211975587406,-13.812211975587406,-13.812211975587406,-4.620046498702926,-4.620046498702926,-4.620046498702926,0.0,0.0,0.0,206.5491451707002
2014-01-13,225.1777832140382,-548.5056475303734,995.2659456743414,225.1777832140382,225.1777832140382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.700899617100931,-2.700899617100931,-2.700899617100931,0.0,0.0,0.0,-2.174365283674588,-2.174365283674588,-2.174365283674588,-0.5265343334263431,-0.5265343334263431,-0.5265343334263431,0.0,0.0,0.0,222.47688359693726
2014-01-14,225.275972998562,-556.17133112939,1039.707862909536,225.275972998562,225.275972998562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.934651136603218,28.934651136603218,28.934651136603218,0.0,0.0,0.0,26.67003726222997,26.67003726222997,26.67003726222997,2.2646138743732505,2.2646138743732505,2.2646138743732505,0.0,0.0,0.0,254.2106241351652
